record_id,creation_date,theft_start_date,theft_start_hour,theft_end_date,theft_end_hour,lor_area_code,sub_district_name,sub_district_lat,sub_district_long,value_euro,theft_attempt,bike_type,theft_category,detection_reason
1719,02/03/2021,02/03/2021,15,02/03/2021,15,3601347,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,30,NO,MEN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1720,02/03/2021,26/02/2021,13,26/02/2021,13,2400623,Friedrichshain West,52.5122154,13.4502904,150,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1721,02/03/2021,02/03/2021,2,02/03/2021,2,3601453,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,1604,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1722,02/03/2021,01/03/2021,4,01/03/2021,8,11100204,Hohenschönhausen Nord,52.5494183,13.5021930,746,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1723,02/03/2021,02/03/2021,8,02/03/2021,9,9200613,Treptow-Köpenick,52.4178930,13.6001848,240,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1724,02/03/2021,01/03/2021,19,02/03/2021,12,3200207,Nördliches Pankow,52.5979174,13.4353160,750,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1725,02/03/2021,01/03/2021,19,02/03/2021,10,4501149,Wilmersdorf Zentrum,52.4871152,13.3203298,929,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1726,02/03/2021,01/03/2021,22,02/03/2021,10,3300516,Nördliches Weißensee,52.5546193,13.4630018,999,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1727,02/03/2021,01/03/2021,12,02/03/2021,8,3601453,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1728,02/03/2021,01/03/2021,8,01/03/2021,15,2500835,Friedrichshain Ost,52.5122154,13.4502904,549,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1729,02/03/2021,01/03/2021,17,01/03/2021,17,8100209,Neukölln,52.4811497,13.4353501,1000,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1730,02/03/2021,27/02/2021,13,28/02/2021,14,4400726,Wilmersdorf Süd,52.4871152,13.3203298,905,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1731,02/03/2021,27/02/2021,15,02/03/2021,15,1100311,Zentrum,52.5301017,13.3425422,270,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1732,02/03/2021,02/03/2021,11,02/03/2021,17,12200309,Tegel,52.5873891,13.2790461,300,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1733,02/03/2021,01/03/2021,12,02/03/2021,7,7200409,Schöneberg Süd,52.4821570,13.3551901,1030,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1734,02/03/2021,01/03/2021,16,02/03/2021,12,9100202,Treptow-Köpenick,52.4178930,13.6001848,199,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1735,02/03/2021,26/02/2021,19,01/03/2021,7,2200209,Kreuzberg Süd,52.5049589,13.3905699,1098,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1736,03/03/2021,02/03/2021,23,02/03/2021,23,4500939,Wilmersdorf Zentrum,52.4871152,13.3203298,60,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1737,03/03/2021,03/03/2021,0,03/03/2021,0,4400727,Wilmersdorf Süd,52.4871152,13.3203298,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1738,03/03/2021,26/02/2021,22,28/02/2021,20,9100101,Treptow-Köpenick,52.4178930,13.6001848,499,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1739,03/03/2021,02/03/2021,15,02/03/2021,19,11100204,Hohenschönhausen Nord,52.5494183,13.5021930,488,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1740,03/03/2021,01/03/2021,17,03/03/2021,17,3501037,Südliches Weißensee,52.5546193,13.4630018,210,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1741,03/03/2021,03/03/2021,10,03/03/2021,10,4300414,Charlottenburg Zentrum,52.5157470,13.3096834,1210,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1742,03/03/2021,02/03/2021,22,03/03/2021,8,7100101,Schöneberg Nord,52.4821570,13.3551901,330,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1743,03/03/2021,02/03/2021,20,03/03/2021,9,3200205,Nördliches Pankow,52.5979174,13.4353160,1100,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1744,03/03/2021,28/02/2021,21,02/03/2021,16,3501037,Südliches Weißensee,52.5546193,13.4630018,1600,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1745,03/03/2021,02/03/2021,20,03/03/2021,9,1100309,Zentrum,52.5301017,13.3425422,600,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1746,03/03/2021,25/02/2021,17,26/02/2021,8,1100312,Zentrum,52.5301017,13.3425422,1630,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1747,03/03/2021,02/03/2021,20,03/03/2021,8,3601451,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1748,03/03/2021,01/03/2021,13,02/03/2021,15,4300413,Charlottenburg Zentrum,52.5157470,13.3096834,200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1749,03/03/2021,02/03/2021,15,03/03/2021,15,7300618,Friedenau,52.4720750,13.3296424,1413,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1750,03/03/2021,02/03/2021,12,02/03/2021,19,7100101,Schöneberg Nord,52.4821570,13.3551901,750,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1751,03/03/2021,02/03/2021,22,03/03/2021,9,2500728,Friedrichshain Ost,52.5122154,13.4502904,4200,NO,BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1752,03/03/2021,02/03/2021,9,02/03/2021,9,1200522,Moabit,52.5216560,13.4141550,398,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1753,03/03/2021,26/02/2021,15,26/02/2021,18,1100206,Zentrum,52.5301017,13.3425422,1711,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1754,03/03/2021,27/02/2021,16,28/02/2021,14,3300514,Nördliches Weißensee,52.5546193,13.4630018,50,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1755,03/03/2021,02/03/2021,20,02/03/2021,20,12500930,Wittenau/Borsigwalde,52.5912366,13.3233195,200,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1756,03/03/2021,02/03/2021,12,03/03/2021,12,8200832,Britz/Buckow,52.4186619,13.4289504,2706,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1757,03/03/2021,26/02/2021,15,01/03/2021,8,4400728,Wilmersdorf Süd,52.4871152,13.3203298,792,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1758,03/03/2021,02/03/2021,19,03/03/2021,7,3400618,Südliches Pankow,52.5979174,13.4353160,1200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1759,03/03/2021,03/03/2021,12,03/03/2021,12,9301024,Treptow-Köpenick,52.4178930,13.6001848,4069,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1760,03/03/2021,03/03/2021,13,03/03/2021,17,1100207,Zentrum,52.5301017,13.3425422,809,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1761,03/03/2021,02/03/2021,20,03/03/2021,9,3200205,Nördliches Pankow,52.5979174,13.4353160,950,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1762,03/03/2021,24/02/2021,12,24/02/2021,14,7501134,Mariendorf,52.4400800,13.3900277,200,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1763,03/03/2021,01/03/2021,19,03/03/2021,16,4501044,Wilmersdorf Zentrum,52.4871152,13.3203298,120,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1764,03/03/2021,26/02/2021,15,01/03/2021,8,4400728,Wilmersdorf Süd,52.4871152,13.3203298,499,NO,MOUNTAIN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1765,03/03/2021,03/03/2021,11,03/03/2021,12,2500834,Friedrichshain Ost,52.5122154,13.4502904,1006,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1766,03/03/2021,03/03/2021,10,03/03/2021,10,6300526,Zehlendorf Süd/Lichterfelde West,52.4343217,13.2589298,1899,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1767,04/03/2021,23/02/2021,18,24/02/2021,20,1100415,Zentrum,52.5301017,13.3425422,1300,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1768,04/03/2021,03/03/2021,10,03/03/2021,13,9100101,Treptow-Köpenick,52.4178930,13.6001848,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1769,04/03/2021,03/03/2021,18,03/03/2021,21,3601244,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,6890,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1770,04/03/2021,22/02/2021,18,24/02/2021,9,1200520,Moabit,52.5216560,13.4141550,830,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1771,04/03/2021,02/03/2021,16,04/03/2021,16,3400619,Südliches Pankow,52.5979174,13.4353160,2500,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1772,04/03/2021,02/03/2021,22,03/03/2021,14,3601244,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,700,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1773,04/03/2021,04/03/2021,8,04/03/2021,9,3400830,Südliches Pankow,52.5979174,13.4353160,1143,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1774,04/03/2021,04/03/2021,7,04/03/2021,13,11401033,Lichtenberg Mitte,52.5321606,13.5118927,1000,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1775,04/03/2021,03/03/2021,14,04/03/2021,11,8100312,Neukölln,52.4811497,13.4353501,883,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1776,04/03/2021,21/02/2021,18,24/02/2021,11,2200211,Kreuzberg Süd,52.5049589,13.3905699,230,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1777,04/03/2021,03/03/2021,18,03/03/2021,20,11100203,Hohenschönhausen Nord,52.5494183,13.5021930,699,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1778,04/03/2021,02/03/2021,22,04/03/2021,16,8100312,Neukölln,52.4811497,13.4353501,749,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1779,04/03/2021,26/02/2021,18,28/02/2021,12,3701555,Südlicher Prenzlauer Berg,52.5398466,13.4285652,250,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1780,04/03/2021,04/03/2021,12,04/03/2021,13,2300314,Kreuzberg Ost,52.5049589,13.3905699,500,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1781,04/03/2021,02/03/2021,12,04/03/2021,9,3500934,Südliches Weißensee,52.5546193,13.4630018,544,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1782,04/03/2021,03/03/2021,20,04/03/2021,8,2300315,Kreuzberg Ost,52.5049589,13.3905699,620,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1783,04/03/2021,04/03/2021,10,04/03/2021,12,11300618,Lichtenberg Nord,52.5321606,13.5118927,800,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1784,04/03/2021,03/03/2021,17,04/03/2021,8,2200212,Kreuzberg Süd,52.5049589,13.3905699,340,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1785,04/03/2021,03/03/2021,20,04/03/2021,8,3400830,Südliches Pankow,52.5979174,13.4353160,449,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1786,04/03/2021,04/03/2021,0,04/03/2021,13,2100105,Kreuzberg Nord,52.5049589,13.3905699,250,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1787,04/03/2021,04/03/2021,16,04/03/2021,16,3400721,Südliches Pankow,52.5979174,13.4353160,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1788,04/03/2021,04/03/2021,10,04/03/2021,13,4400834,Wilmersdorf Süd,52.4871152,13.3203298,739,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1789,04/03/2021,04/03/2021,7,04/03/2021,21,9300921,Treptow-Köpenick,52.4178930,13.6001848,599,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1790,04/03/2021,04/03/2021,16,04/03/2021,16,7200409,Schöneberg Süd,52.4821570,13.3551901,1160,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1791,04/03/2021,04/03/2021,8,04/03/2021,18,6400737,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1792,04/03/2021,03/03/2021,19,04/03/2021,6,9100101,Treptow-Köpenick,52.4178930,13.6001848,260,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1793,04/03/2021,01/03/2021,18,02/03/2021,17,3400723,Südliches Pankow,52.5979174,13.4353160,735,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1794,04/03/2021,03/03/2021,9,04/03/2021,7,11100203,Hohenschönhausen Nord,52.5494183,13.5021930,494,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1795,04/03/2021,03/03/2021,7,03/03/2021,18,6400838,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,499,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1796,04/03/2021,03/03/2021,13,03/03/2021,13,3601139,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,150,NO,MEN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1797,04/03/2021,04/03/2021,22,04/03/2021,22,8100103,Neukölln,52.4811497,13.4353501,150,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1798,04/03/2021,02/03/2021,22,03/03/2021,8,7200412,Schöneberg Süd,52.4821570,13.3551901,440,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1799,04/03/2021,03/03/2021,8,03/03/2021,16,4501042,Wilmersdorf Zentrum,52.4871152,13.3203298,250,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1800,04/03/2021,03/03/2021,22,04/03/2021,9,10100207,Marzahn,52.5447922,13.5646048,100,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1801,04/03/2021,03/03/2021,14,03/03/2021,16,7300515,Friedenau,52.4720750,13.3296424,500,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1802,04/03/2021,01/03/2021,18,04/03/2021,9,7601340,Marienfelde / Lichtenrade,52.3934559,13.4020397,499,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1803,04/03/2021,27/02/2021,14,27/02/2021,14,3601142,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,332,NO,MOUNTAIN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1804,04/03/2021,03/03/2021,9,04/03/2021,12,3601244,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,1068,NO,RACING BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1805,04/03/2021,03/03/2021,20,03/03/2021,23,1200520,Moabit,52.5216560,13.4141550,559,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1806,04/03/2021,03/03/2021,21,04/03/2021,16,4501043,Wilmersdorf Zentrum,52.4871152,13.3203298,800,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1807,04/03/2021,28/02/2021,18,01/03/2021,14,8100415,Neukölln,52.4811497,13.4353501,309,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1808,04/03/2021,03/03/2021,15,04/03/2021,7,4501043,Wilmersdorf Zentrum,52.4871152,13.3203298,2070,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1809,04/03/2021,03/03/2021,15,03/03/2021,16,4300517,Charlottenburg Zentrum,52.5157470,13.3096834,599,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1810,04/03/2021,26/02/2021,13,01/03/2021,10,12400618,Grüner Norden,52.6333330,13.3000000,401,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1811,04/03/2021,28/02/2021,18,01/03/2021,8,1300732,Gesund­­brunnen,52.5509201,13.3848460,358,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1812,05/03/2021,04/03/2021,16,05/03/2021,10,8100208,Neukölln,52.4811497,13.4353501,430,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1813,05/03/2021,02/03/2021,18,05/03/2021,13,1200518,Moabit,52.5216560,13.4141550,314,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1814,05/03/2021,05/03/2021,15,05/03/2021,15,8200832,Britz/Buckow,52.4186619,13.4289504,800,NO,RACING BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1815,05/03/2021,01/03/2021,8,01/03/2021,16,2300419,Kreuzberg Ost,52.5049589,13.3905699,380,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1816,05/03/2021,05/03/2021,12,05/03/2021,19,7200308,Schöneberg Süd,52.4821570,13.3551901,800,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1817,05/03/2021,03/03/2021,12,03/03/2021,17,2100104,Kreuzberg Nord,52.5049589,13.3905699,1200,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1818,05/03/2021,04/03/2021,9,04/03/2021,18,2300314,Kreuzberg Ost,52.5049589,13.3905699,750,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1819,05/03/2021,27/02/2021,23,02/03/2021,14,7300515,Friedenau,52.4720750,13.3296424,1053,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1820,05/03/2021,05/03/2021,10,05/03/2021,15,2200209,Kreuzberg Süd,52.5049589,13.3905699,1029,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1821,05/03/2021,04/03/2021,19,04/03/2021,22,4501147,Wilmersdorf Zentrum,52.4871152,13.3203298,1483,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1822,05/03/2021,04/03/2021,7,04/03/2021,17,12200515,Tegel,52.5873891,13.2790461,488,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1823,05/03/2021,05/03/2021,13,05/03/2021,16,4300414,Charlottenburg Zentrum,52.5157470,13.3096834,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1824,05/03/2021,04/03/2021,18,05/03/2021,5,3601452,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,500,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1825,05/03/2021,04/03/2021,17,05/03/2021,1,6300527,Zehlendorf Süd/Lichterfelde West,52.4343217,13.2589298,400,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1826,05/03/2021,04/03/2021,8,04/03/2021,12,3500932,Südliches Weißensee,52.5546193,13.4630018,400,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1827,05/03/2021,05/03/2021,16,05/03/2021,17,11100205,Hohenschönhausen Nord,52.5494183,13.5021930,600,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1828,05/03/2021,10/02/2021,1,10/02/2021,1,1401048,Wedding,52.5501230,13.3419700,100,NO,MEN BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1829,05/03/2021,04/03/2021,16,05/03/2021,6,2500833,Friedrichshain Ost,52.5122154,13.4502904,854,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1830,05/03/2021,04/03/2021,9,04/03/2021,10,2100104,Kreuzberg Nord,52.5049589,13.3905699,3700,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1831,05/03/2021,12/02/2021,0,12/02/2021,0,4500936,Wilmersdorf Zentrum,52.4871152,13.3203298,2000,NO,RACING BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1832,05/03/2021,05/03/2021,7,05/03/2021,10,3400722,Südliches Pankow,52.5979174,13.4353160,499,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1833,05/03/2021,03/03/2021,22,05/03/2021,6,2400624,Friedrichshain West,52.5122154,13.4502904,750,NO,MEN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1834,05/03/2021,03/03/2021,10,04/03/2021,16,1100312,Zentrum,52.5301017,13.3425422,700,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1835,05/03/2021,26/02/2021,11,26/02/2021,17,4300414,Charlottenburg Zentrum,52.5157470,13.3096834,70,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1836,05/03/2021,02/03/2021,14,03/03/2021,8,7300517,Friedenau,52.4720750,13.3296424,300,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1837,05/03/2021,26/02/2021,8,26/02/2021,8,6300632,Zehlendorf Süd/Lichterfelde West,52.4343217,13.2589298,50,NO,LADIES BIKE,BIKES THEFT,SIMPLE THEFT OF BIKES
1838,05/03/2021,04/03/2021,21,05/03/2021,12,2400520,Friedrichshain West,52.5122154,13.4502904,1000,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1839,05/03/2021,02/03/2021,10,04/03/2021,13,3400828,Südliches Pankow,52.5979174,13.4353160,550,NO,BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1840,05/03/2021,05/03/2021,11,05/03/2021,16,2500834,Friedrichshain Ost,52.5122154,13.4502904,1278,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1841,05/03/2021,04/03/2021,19,05/03/2021,10,11300826,Lichtenberg Nord,52.5321606,13.5118927,450,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1842,05/03/2021,28/02/2021,16,01/03/2021,8,7100102,Schöneberg Nord,52.4821570,13.3551901,720,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1843,05/03/2021,04/03/2021,19,05/03/2021,6,3400619,Südliches Pankow,52.5979174,13.4353160,600,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1844,05/03/2021,04/03/2021,15,05/03/2021,7,12601032,Märkisches Viertel,52.6000000,13.3583330,500,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1845,05/03/2021,03/03/2021,18,05/03/2021,12,3400618,Südliches Pankow,52.5979174,13.4353160,1200,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1846,05/03/2021,02/03/2021,18,05/03/2021,13,2300417,Kreuzberg Ost,52.5049589,13.3905699,630,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1847,05/03/2021,04/03/2021,23,05/03/2021,14,4501043,Wilmersdorf Zentrum,52.4871152,13.3203298,1200,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1848,05/03/2021,05/03/2021,17,05/03/2021,19,12400722,Grüner Norden,52.6333330,13.3000000,300,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1849,06/03/2021,05/03/2021,18,06/03/2021,10,4300416,Charlottenburg Zentrum,52.5157470,13.3096834,1053,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1850,06/03/2021,06/03/2021,16,06/03/2021,16,8100209,Neukölln,52.4811497,13.4353501,800,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1851,06/03/2021,05/03/2021,18,06/03/2021,8,4501045,Wilmersdorf Zentrum,52.4871152,13.3203298,959,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1852,06/03/2021,06/03/2021,12,06/03/2021,14,7601238,Marienfelde / Lichtenrade,52.3934559,13.4020397,455,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1853,06/03/2021,26/02/2021,20,28/02/2021,12,1300836,Gesund­­brunnen,52.5509201,13.3848460,320,NO,MOUNTAIN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1854,06/03/2021,06/03/2021,0,06/03/2021,6,11400929,Lichtenberg Mitte,52.5321606,13.5118927,1200,NO,MOUNTAIN BIKE,CELLAR AND ATTIC BREAKAGE,OTHER AGGRAVARTED THEFT IN/FROM BASEMENT FLOOR OF BIKES
1855,06/03/2021,03/03/2021,9,04/03/2021,16,9100304,Treptow-Köpenick,52.4178930,13.6001848,782,NO,MEN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1856,06/03/2021,04/03/2021,14,04/03/2021,15,1400942,Wedding,52.5501230,13.3419700,700,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1857,06/03/2021,06/03/2021,9,06/03/2021,11,6400838,Zehlendorf Nord/Wannsee,52.4211482,13.1589374,744,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1858,06/03/2021,06/03/2021,12,06/03/2021,14,3601245,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,450,NO,CHILDREN BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
1859,06/03/2021,06/03/2021,9,06/03/2021,14,3601244,Nördlicher Prenzlauer Berg,52.5398466,13.4285652,300,NO,LADIES BIKE,BIKES THEFT,OTHER GRAND THEFT OF BIKES
